ORGANIZACION,Comentario,Comentario Sin tratar,Etiqueta,Analyzer
mexico evalua,supervisora comprensiva paciente clara cada actividad retadora emocionante encanto poder colaborar companera practicas,mi supervisora fue muy comprensiva paciente y clara cada actividad fue retadora y emocionante me encanto poder colaborar con ella y mi companera de practicas,positive,"AnalyzerOutput(output=POS, probas={POS: 0.963, NEU: 0.034, NEG: 0.003})"
proyecto interno estimacion del impacto de la iniciativa de reforma a la ley del seguro social lss y a la ley del sistema del ahorro para el retiro lsar,gusto poder tomar practicas profesor francisco aterrizamos conocimientos mundo real,fue un gusto poder tomar las practicas con el profesor francisco aterrizamos muchos conocimientos al mundo real ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.935, NEU: 0.060, NEG: 0.005})"
swarm data  people,excelente organizacion,es una excelente organizacion ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.929, NEU: 0.065, NEG: 0.006})"
yb capital,verdad super bien gusto bastante pude trabajar desarrollarme,"la verdad todo estuvo super bien me gusto bastante en lo que pude trabajar y desarrollarme
",positive,"AnalyzerOutput(output=POS, probas={POS: 0.968, NEU: 0.029, NEG: 0.003})"
proyecto interno estimacion del impacto de la iniciativa de reforma a la ley del seguro social lss y a la ley del sistema del ahorro para el retiro lsar,proyecto participe enriquecedor permitio aplicar conocimientos adquirido largo carrera,el proyecto en el que participe fue muy enriquecedor me permitio aplicar muchos conocimientos que he adquirido a lo largo de mi carrera ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.946, NEU: 0.050, NEG: 0.004})"
allianz,acerca horas practicas estan indicadas evaluacion proporcionaron realizar misma empresa indico horas practicas realizadas total horas,"acerca de las horas practicas que estan indicadas en esta evaluacion se proporcionaron antes de realizar la misma 
la empresa indico que las horas practicas realizadas fue un total de  horas",neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.856, POS: 0.108, NEG: 0.036})"
blackshiip,principio practicas buenas recibieron blackshiip dieron empresa trabajar formaba parte portafolio blackshiip primeras semanas desarrollaron bien explicaron proyecto roles iba dividido nuesto tiempo embargo conforme paso tiempo olvidando solo hicimos parte proyecto acordamos si trabaje aprendi interesaba mas area ibamos trabajar nunca sucedio,al principio las practicas fueron buenas nos recibieron en blackshiip y nos dieron una empresa en que trabajar que formaba parte del portafolio de blackshiip las primeras semanas se desarrollaron bien explicaron proyecto roles y como iba estar dividido nuesto tiempo sin embargo conforme paso el tiempo nos fueron olvidando y solo hicimos una parte del proyecto que acordamos si trabaje y aprendi pero me interesaba mas la otra area en la que ibamos a trabajar la cual nunca sucedio,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.759, POS: 0.187, NEG: 0.054})"
benemerita universidad autonoma de puebla  instituto de ciencias centro de investigaciones en ciencias microbiologicas,recomendaria mayor comunicacion supervisor estudiantes tener mejor idea trabajo requiere hacer practicas,recomendaria que hubiera mayor comunicacion entre el supervisor y los estudiantes para tener una mejor idea del trabajo que se requiere hacer en las practicas,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.726, POS: 0.240, NEG: 0.033})"
universidad autonoma de baja california,linea correspondia organizacion otorgarme servicios,fue en linea por lo que no le correspondia la organizacion otorgarme servicios,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.850, POS: 0.119, NEG: 0.030})"
benemerita universidad autonoma de puebla  centro de quimica instituto de ciencias dr francisco melendez,aprendi periodo aunque sido modalidad online asesoria brindaron profesores buena disposicion ayudarnos resolver dudas siempre excelente,aprendi mucho durante este periodo aunque haya sido en modalidad online la asesoria que brindaron los profesores fue muy buena y su disposicion para ayudarnos a resolver dudas siempre fue excelente ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.907, NEU: 0.087, NEG: 0.006})"
universidad autonoma de baja california,unico hicimos vaciado articulos cientificos considero sirve absoluto ambito laboral hare laboratorio llegue pues tendre nula experiencia,lo unico que hicimos fue un vaciado de articulos cientificos considero que no me sirve para algo en lo absoluto cuando entre al ambito laboral no se que hare en un laboratorio cuando llegue pues tendre nula experiencia,negative,"AnalyzerOutput(output=NEG, probas={NEG: 0.936, NEU: 0.061, POS: 0.003})"
san juan fabrica de vidrio,mejor manera presencial,hubiera estado mejor de manera presencial ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.591, POS: 0.357, NEG: 0.052})"
proyecto interno elaboracion de un manual para el manejo nutricional del paciente postoperatorio,comentarios,sin comentarios ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.511, NEG: 0.342, POS: 0.147})"
universidad nacional autonoma de mexico  laboratorio internacional de investigacion sobre el genoma humano,mejor planeacion cuanto actividades realizar,mejor planeacion en cuanto a las actividades a realizar ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.807, POS: 0.168, NEG: 0.026})"
hospital angeles puebla,aunque practicas linea siento si aproveche actividades tenia realizar,aunque las practicas fueron en linea siento que si aproveche las actividades que tenia que realizar ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.790, POS: 0.147, NEG: 0.063})"
cio,experiencia dificil definitivamente llena puro aprendizaje,fue una experiencia dificil pero definitivamente llena de puro aprendizaje ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.574, NEU: 0.345, NEG: 0.081})"
proyecto interno geometria diferencial aplicada a fisica,bueno,muy bueno,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.609, NEG: 0.199, POS: 0.192})"
proyecto interno proyecto conacytsep ciencias basicas fenomenologia de las interacciones fuertes en el limite de altas energias,,,positive,"AnalyzerOutput(output=POS, probas={POS: 0.498, NEU: 0.289, NEG: 0.213})"
proyecto interno proyecto conacytsep ciencias basicas fenomenologia de las interacciones fuertes en el limite de altas energias,ame materia pesar sido mas dificil llevado tiempo,ame esta materia a pesar que ha sido la mas dificil que he llevado en tiempo,positive,"AnalyzerOutput(output=NEG, probas={NEG: 0.547, NEU: 0.374, POS: 0.079})"
carbomex nanomateriales,pregunta beneficios brindo organizacion respuesta hice practicas linea aplicaria pregunta parte pregunta menciona si exigieron habilidades aprendi licenciatura ambigua opinion bueno pidan sepas hagas cosas carrera,en la pregunta de los beneficios que me brindo la organizacion la respuesta fue no porque hice mis practicas en linea por lo que no aplicaria la pregunta por otra parte la pregunta que menciona si me exigieron habilidades fuera de lo que aprendi en la licenciatura es ambigua porque en mi opinion es bueno que no te pidan que sepas o hagas cosas fuera de tu carrera ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.867, POS: 0.088, NEG: 0.046})"
centro de investigaciones en optica,bien senti apoyado momento inclusive material tenia acceso casa,todo muy bien me senti apoyado en todo momento inclusive con el material que no tenia acceso desde mi casa,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.545, POS: 0.426, NEG: 0.029})"
soluciones ecologicas de puebla,empresa buena materia anejo residuos organicos innovacion planificacion proyectos sostenibles,una empresa muy buena en materia de anejo de residuos organicos e innovacion y planificacion de proyectos sostenibles,positive,"AnalyzerOutput(output=POS, probas={POS: 0.647, NEU: 0.333, NEG: 0.020})"
inaoe,ayudaron formacion poner practica aprendido,me ayudaron mucho a mi formacion y a poner en practica todo lo aprendido ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.650, POS: 0.330, NEG: 0.020})"
hospital puebla,tomar cuenta ayudar trabajos asignen,tomar en cuenta que estamos para ayudar en los trabajos que se nos asignen ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.894, POS: 0.079, NEG: 0.028})"
ingenieria biomedica de puebla immem,deberian darse lineamientos manera mas clara principio practicas deberian respetar horarios trabajo,deberian darse los lineamientos de manera mas clara desde el principio de las practicas y se deberian respetar los horarios de trabajo,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.657, NEG: 0.237, POS: 0.105})"
ingenieria biomedica de puebla immem,buena experiencia,buena experiencia,positive,"AnalyzerOutput(output=POS, probas={POS: 0.526, NEU: 0.400, NEG: 0.074})"
ingenieria biomedica de puebla immem,creo experiencia sido mas enriquecedora manera presencial embargo aprendi ingeniero siempre atento amable vez exigia dar mejor cada tarea asignada,creo que la experiencia hubiera sido mas enriquecedora de manera presencial sin embargo aprendi mucho el ingeniero siempre muy atento y amable pero a la vez nos exigia dar lo mejor en cada tarea asignada ,neutral,"AnalyzerOutput(output=POS, probas={POS: 0.945, NEU: 0.051, NEG: 0.004})"
constructora ramirez cisneros,general bien agradezco empresa experiencia brindada dispuesto colaborar futuro si necesario,en general todo muy bien agradezco a la empresa por la experiencia brindada y estoy dispuesto a colaborar en un futuro si es necesario,positive,"AnalyzerOutput(output=POS, probas={POS: 0.849, NEU: 0.142, NEG: 0.009})"
constructora integra ,tiempo pude aprender especial parte practica carrera pude aplicar conocimientos adquiridos estudios igual forma gustado pasar tiempo dentro organizacion dentro proyecto,durante este tiempo pude aprender mucho en especial en la parte practica de la carrera donde pude aplicar los conocimientos adquiridos durante mis estudios de igual forma me ha gustado mucho pasar este tiempo dentro de esta organizacion y dentro del proyecto,positive,"AnalyzerOutput(output=POS, probas={POS: 0.633, NEU: 0.359, NEG: 0.008})"
scala,excelente,excelente,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.478, POS: 0.319, NEG: 0.203})"
reemsa,necesitan ampliar catalogo organizaciones super insatisfechos experiencia practicas aporto nuevo valioso desarrollo profesional,necesitan ampliar el catalogo de organizaciones estamos super insatisfechos con la experiencia de practicas no aporto nada nuevo ni valioso a nuestro desarrollo profesional ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.702, POS: 0.244, NEG: 0.055})"
reemsa,pesar circunstancias creo buena experiencia encantado poder manera presencial,a pesar de las circunstancias creo que fue una buena experiencia me hubiera encantado poder estar de manera presencial,positive,"AnalyzerOutput(output=POS, probas={POS: 0.929, NEU: 0.067, NEG: 0.004})"
sialico,excelente organizacion actividades parte consultores empresa atencion capacitacion practicantes describe empresa sialico gran profesionalismo adquiri mucha experiencia procesos aplicados licenciatura adicionalmente brindaron cursos capacitacion gratuitos familiarizarnos todas areas,"excelente organizacion de actividades por parte de los consultores de la empresa la atencion y capacitacion a los practicantes es lo que describe a la empresa sialico con gran profesionalismo adquiri mucha experiencia de sus procesos aplicados a mi licenciatura adicionalmente nos brindaron cursos de capacitacion gratuitos para familiarizarnos con todas las areas
",positive,"AnalyzerOutput(output=POS, probas={POS: 0.851, NEU: 0.141, NEG: 0.008})"
sialico,actualmente encuentro practicas profesion i organizacion permitio seguir trabajando primavera contenta sialico trabajo desempenado aparte gusta siempre recibo retroalimentacion capacitacion diversas actividades realizo,actualmente me encuentro en practicas de la profesion i la organizacion me permitio seguir trabajando con ellos en primavera  estoy muy contenta con sialico y con el trabajo que he desempenado con ellos aparte me gusta que siempre recibo retroalimentacion y capacitacion en las diversas actividades que realizo,positive,"AnalyzerOutput(output=POS, probas={POS: 0.626, NEU: 0.362, NEG: 0.012})"
formula ,lamentablemente toco practicas presenciales alguien empresa presencial obtendria buena experiencia,lamentablemente a mi ya no me toco practicas presenciales pero con alguien en esta empresa en presencial obtendria muy buena experiencia ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.851, NEG: 0.093, POS: 0.056})"
agencia de energia del estado de puebla,practicas profesion llevado exito aprendiendo nuevos aspectos consideraba totalidad proyectos energeticos embargo modalidad practicas linea deja estudiante lugar practicas dar mas alla aprendizaje cabe mencionar igual forma experiencia siendo satisfactoria,mis practicas de la profesion se han llevado con exito aprendiendo nuevos aspectos que no consideraba en su totalidad para proyectos energeticos sin embargo la modalidad de practicas en linea no deja al estudiante y al lugar de practicas dar mas alla del  de aprendizaje pero cabe mencionar que de igual forma mi experiencia esta siendo satisfactoria,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.520, POS: 0.459, NEG: 0.021})"
sialico,brindo beneficios debido practicas tome linea,no me brindo beneficios debido a que las practicas las tome en linea,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.733, POS: 0.240, NEG: 0.027})"
montrol,buena organizacion aquellos buscan aplicarse campo multidisciplinario robotica automatizacion industrial,buena organizacion para aquellos que buscan aplicarse en un campo multidisciplinario en la robotica y automatizacion industrial ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.699, NEU: 0.291, NEG: 0.011})"
brand backers,buen trabajo capacitan bien profesionales,buen trabajo capacitan bien y son muy profesionales ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.955, NEU: 0.039, NEG: 0.006})"
pixolab,organizacion induccion puede mejorar bien,la organizacion de la induccion puede mejorar un poco fuera de eso todo bien,positive,"AnalyzerOutput(output=POS, probas={POS: 0.684, NEU: 0.307, NEG: 0.009})"
polyworks,sigo proceso reclutamiento,sigo en proceso de reclutamiento,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.887, NEG: 0.080, POS: 0.034})"
creea mexico,puedo calificar negativamente organizacion actividades requerian mayoria manera presencial asistir empresas recopilar informacion despues ingresarlo software ir haciendo mejoras,no puedo calificar negativamente a la organizacion ya que las actividades que ellos requerian eran en su mayoria de manera presencial porque tienen que asistir a las empresas y recopilar la informacion para despues ingresarlo a su software e ir haciendo mejoras,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.869, NEG: 0.080, POS: 0.051})"
marpa,comentario gustaria mencionar estancia organizacion sido mas agradable duda gustaria seguir aprendiendo area formar parte equipo mas tiempo,como comentario me gustaria mencionar que mi estancia en la organizacion ha sido de lo mas agradable y sin duda me gustaria seguir aprendiendo de esa area y formar parte de ese equipo durante mas tiempo,positive,"AnalyzerOutput(output=POS, probas={POS: 0.847, NEU: 0.147, NEG: 0.006})"
casa tapier,excelente opcion desempenar practicas pues toman cuenta permiten implementes ideas conocimientos fin mejorar diferentes ramas empresa,una excelente opcion para desempenar tus practicas pues te toman en cuenta y permiten que implementes tus ideas y conocimientos con el fin de mejorar las diferentes ramas de la empresa,positive,"AnalyzerOutput(output=POS, probas={POS: 0.852, NEU: 0.140, NEG: 0.008})"
kuspit,excelente,todo excelente,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.478, POS: 0.319, NEG: 0.203})"
carbomex,capacitar involucrar mas actividades practicantes solo asignarnos area semestre,capacitar e involucrar en mas actividades a los practicantes y no solo asignarnos en una area todo el semestre ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.886, POS: 0.076, NEG: 0.038})"
thyssenkrupp,sido excelente experiencia crecido manera profesional,ha sido una excelente experiencia y he crecido mucho de manera profesional,positive,"AnalyzerOutput(output=POS, probas={POS: 0.972, NEU: 0.025, NEG: 0.003})"
udlap,buen proyecto interno gran oportunidad aprender verdad si valen pena cursos,buen proyecto interno gran oportunidad de aprender y la verdad si valen la pena los cursos ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.975, NEU: 0.021, NEG: 0.003})"
thyssenkrupp,organizacion procura dar todas herramientas buen desarrollo profesional,es una organizacion que procura dar todas las herramientas para un buen desarrollo profesional,positive,"AnalyzerOutput(output=POS, probas={POS: 0.587, NEU: 0.394, NEG: 0.019})"
yamel hogar,gustaria practicas presenciales aprender mas,me gustaria que las practicas fueran presenciales para aprender mas ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.564, POS: 0.411, NEG: 0.025})"
faurecia,aun termino practicas eh recibido oferta contratacion parte faurecia luego estaria entusiasmado poder decirles si par fecha termino voy realizar practicas mayo embargo coloque fecha jefe comento finalizaba ano decir despues diciembre tendre periodo vacaciones regreso enero pesar demandante faurecia empresa cumple expectativas considero ahora mejor empresa hacer practicas,aun no termino mis practicas por lo que no eh recibido oferta de contratacion por parte de faurecia desde luego estaria muy entusiasmado de poder decirles que si par la fecha de termino voy a realizar mis practicas hasta mayo de  sin embargo coloque la fecha en que mi jefe me comento que finalizaba este ano es decir despues del  de diciembre tendre mi periodo de vacaciones y regreso en enero a pesar que es demandante faurecia es una empresa que cumple mis expectativas y que considero yo hasta ahora la mejor empresa para hacer tus practicas ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.895, POS: 0.075, NEG: 0.030})"
cadena comercial oxxo,creo practicas serian extremadamente diferente mas agradables si presenciales,creo que mis practicas serian extremadamente diferente y mas agradables para mi si fueran presenciales,neutral,"AnalyzerOutput(output=POS, probas={POS: 0.626, NEU: 0.351, NEG: 0.023})"
intema,supervisoramelissa siempre mostro dispuesta ayudarme resolver dudad orientarme,mi supervisoramelissa siempre se mostro dispuesta ayudarme resolver mis dudad y a orientarme ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.842, NEG: 0.141, POS: 0.017})"
pixolab,bien mantiene activo constante movimiento trabajadores,todo muy bien te mantiene activo y en constante movimiento para estar al tanto de los trabajadores,positive,"AnalyzerOutput(output=POS, probas={POS: 0.496, NEU: 0.464, NEG: 0.041})"
ozono polaris,siempre flexibles conmigo tenia alguna actividad universitaria,siempre fueron flexibles conmigo cuando tenia alguna actividad universitaria,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.892, POS: 0.075, NEG: 0.032})"
ozono polaris,ninguno,ninguno,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.498, NEG: 0.298, POS: 0.205})"
unicar plastics,buen lugar hacer practicas personal encuentra altamente capacitado,muy buen lugar para hacer practicas y el personal se encuentra altamente capacitado ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.901, NEU: 0.095, NEG: 0.005})"
grupo keken,agradable realizar practicas empresa,fue muy agradable realizar mis practicas en la empresa,positive,"AnalyzerOutput(output=POS, probas={POS: 0.757, NEU: 0.235, NEG: 0.008})"
grupo arcarti,gusto formar parte empresa,me gusto mucho formar parte de esta empresa,positive,"AnalyzerOutput(output=POS, probas={POS: 0.869, NEU: 0.119, NEG: 0.012})"
udlap,desarrolle practicas proyecto interno universidad cursos programa dibujo computarizado bien interesante,desarrolle mis practicas en un proyecto interno en la universidad sobre unos cursos de un programa de dibujo computarizado y todo estuvo muy bien y muy interesante,positive,"AnalyzerOutput(output=POS, probas={POS: 0.853, NEU: 0.141, NEG: 0.006})"
abantu talent,asi ganar actividades mas completas tener seguimiento practicante,asi ganar actividades mas completas y tener seguimiento con el practicante ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.722, POS: 0.259, NEG: 0.019})"
volkswagen de mexico,excelente organizacion permitido desarrollar conocimientos adquirir nuevos personas trabaje buenas personas guiandome siempre actividades realizar especialmente agradecido sponsor siempre apoyo,es una excelente organizacion que me ha permitido desarrollar mis conocimientos y adquirir nuevos las personas con las que trabaje son muy buenas personas guiandome siempre con las actividades a realizar especialmente muy agradecido con mis sponsor quien siempre me apoyo ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.947, NEU: 0.049, NEG: 0.004})"
servicios multifuncionales de aire acondicionado,experiencia sido satisfactoria encantado poder haber hecho practicas presenciales embargo pandemia evito aun asi aprendi organizarme convivir ambiente laboral muchas actividades estan dando herramientas seguir adelante,la experiencia ha sido muy satisfactoria a ellos y a mi nos hubiera encantado poder haber hecho las practicas presenciales sin embargo la pandemia lo evito aun asi aprendi a organizarme y a convivir en un ambiente laboral entre muchas otras actividades que me estan dando herramientas para seguir adelante ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.924, NEU: 0.069, NEG: 0.007})"
keeui solar,si solo sido asi modalidad linea realmente aplique ningun conocimiento relacionado carrera adquiridos mas relacionados administrar pagina web empresa,no se si solo haya sido asi por la modalidad en linea pero realmente no aplique ningun conocimiento relacionado con mi carrera y los adquiridos fueron mas relacionados a administrar la pagina web de una empresa,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.736, NEG: 0.247, POS: 0.017})"
keeui solar,,no,neutral,"AnalyzerOutput(output=POS, probas={POS: 0.498, NEU: 0.289, NEG: 0.213})"
ozono polaris,definitiva creo situacion actual ayudo realice hice cuenta solo decian si bien mal creo si ayudo aprender mundo laboral entregar documento investigacion quede ganas hacer presencial,en definitiva creo que la situacion actual no ayudo porque todo lo que realice lo hice por mi cuenta solo me decian si estaba bien o mal creo que si me ayudo en aprender un poco como es el mundo laboral y sobre todo a como entregar un documento de investigacion pero me quede con las ganas de hacer algo presencial ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.817, NEG: 0.165, POS: 0.018})"
carbomex,mitad preguntas pueden aplicarse modalidad linea exigio universidad semestre deberian tomar cuenta encuesta,la mitad de estas preguntas no pueden aplicarse a la modalidad en linea que exigio la universidad este semestre por lo que no deberian tomar en cuenta esta encuesta,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.845, NEG: 0.131, POS: 0.024})"
udlap,asegurarse miembros equipos mentes cuadradas siempre mas opciones mas ideas,asegurarse de que los miembros de los equipos no tengan mentes cuadradas siempre hay mas opciones y mas ideas ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.528, NEU: 0.460, NEG: 0.011})"
udlap,inicio curso comento evaluacion total bajaria caso acreditar examen certificacion embargo ahora mencionan recibiriamos calificacion si acreditamos,"al inicio del curso se nos comento que la evaluacion total bajaria en caso de no acreditar el examen de certificacion 
sin embargo ahora nos mencionan que no recibiriamos calificacion si no lo acreditamos ",negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.873, POS: 0.068, NEG: 0.059})"
anaerobia,excelente empresa alumnos buscan desempenarse ambitos ingenieriles ademas pacientes considerados practicantes apoyan demasiado ayudan crecer manera laboral,es una excelente empresa para alumnos que buscan desempenarse en ambitos ingenieriles ademas de que son muy pacientes y considerados con los practicantes nos apoyan demasiado y nos ayudan a crecer de manera laboral,positive,"AnalyzerOutput(output=POS, probas={POS: 0.896, NEU: 0.097, NEG: 0.007})"
hammerbyte games,mecatronicos creo aprovechamiento aprendido escuela,para mecatronicos no creo que tenga mucho aprovechamiento de lo aprendido en la escuela,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.765, NEG: 0.211, POS: 0.024})"
minero diesel de mexico,cantidad experiencia aprendizaje pude obtener dentro organizacion vio disminuida debido proyecto realizado linea,la cantidad de experiencia y aprendizaje que pude obtener dentro de la organizacion se vio disminuida debido a que fue un proyecto realizado en linea,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.739, NEG: 0.226, POS: 0.035})"
ozono polaris,senti comoda trabajando empresa embargo considero falto explicacion referente proyecto inicio transcurso trabajo semanalmente,me senti comoda trabajando con la empresa sin embargo considero que falto un poco de explicacion referente a mi proyecto al inicio y transcurso del trabajo semanalmente,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.825, NEG: 0.111, POS: 0.065})"
minero diesel de mexico,organizacion brinda apoyo momento hace involucrarte actividades realizan dentro empresa,la organizacion te brinda un apoyo en todo momento ya que te hace involucrarte en las actividades que se realizan dentro de la empresa ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.644, NEU: 0.340, NEG: 0.016})"
enfermeras unidas mexico,excelente organizacion,excelente organizacion,positive,"AnalyzerOutput(output=POS, probas={POS: 0.929, NEU: 0.065, NEG: 0.006})"
udlap,ninguna,ninguna ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.498, NEG: 0.327, POS: 0.175})"
intema,seria bueno practicantes aportaran mas empresa solo realizaramos actividades relleno ningun aporte actividades empresa explicar manera mas concreta actividades realizar periodo practicas inicio tambien considero importante,"seria bueno que los practicantes aportaran un poco mas a la empresa y no solo realizaramos actividades de relleno sin ningun aporte a las actividades de la empresa
explicar de manera mas concreta las actividades a realizar durante el periodo de practicas al inicio tambien lo considero importante",neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.845, POS: 0.093, NEG: 0.062})"
sialico,verdad gustado meter practicas ultimo semestre puesto si demanda tiempo trabajar sialico maravilloso aunque vivi estresado carga academica aunque ofrecido contratacion aceptado corta edad responsabilidades academicas,la verdad me hubiera gustado meter practicas en mi ultimo semestre puesto que si demanda mucho tiempo el trabajar con sialico fue maravilloso aunque me la vivi estresado por la carga academica aunque me hubiesen ofrecido contratacion no la hubiera aceptado por mi corta edad y las responsabilidades academicas que tengo,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.756, POS: 0.183, NEG: 0.061})"
food innovators,experiencia sido mejor haberse podido realizar forma presencial parte importante practicas trabajo laboratorio desarrollo embargo parte investigacion tambien adquiri bastantes conocimientos,la experiencia hubiera sido mejor de haberse podido realizar de forma presencial ya que una parte importante de las practicas era trabajo en el laboratorio para desarrollo sin embargo de la parte de investigacion tambien adquiri bastantes conocimientos,positive,"AnalyzerOutput(output=POS, probas={POS: 0.927, NEU: 0.069, NEG: 0.004})"
blackshiip,proyectos interesantes aporto experiencia pretendia adquirir practicas,tiene proyectos muy interesantes aporto a la experiencia que pretendia adquirir en mis practicas ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.590, POS: 0.393, NEG: 0.018})"
barrera mexico,excelente,todo excelente,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.478, POS: 0.319, NEG: 0.203})"
habla logistica y mercadotecnia,ninguna,ninguna ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.498, NEG: 0.327, POS: 0.175})"
limones monica,bien comentario encuesta acaban pedir hacer confusas metodologia respuestas deslizamiento,todo bien un comentario sobre la encuesta que nos acaban de pedir hacer es que esta confusas la metodologia de las respuestas  o sea el deslizamiento,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.572, NEG: 0.401, POS: 0.026})"
parkimovil,siempre preocuparon entendiera proceso inicial poder desarrollar tareas pedian verdad disfrute hacer practicas parkimovil,siempre se preocuparon porque entendiera el proceso inicial para poder desarrollar las tareas que se me pedian en verdad disfrute hacer mis practicas en parkimovil ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.818, NEG: 0.106, POS: 0.075})"
azgroup mexico,gusto trabajar empresa buena comunicacion,me gusto trabajar en esa empresa muy buena comunicacion ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.962, NEU: 0.034, NEG: 0.004})"
grupo proactivo mexicano,bien buen ambiente laboral eventos favor sociedad gustan inspira seguir ayudando demas personas bienestar,todo bien tienen un muy buen ambiente laboral los eventos a favor de la sociedad me gustan mucho y me inspira a seguir ayudando a las demas personas para su bienestar,positive,"AnalyzerOutput(output=POS, probas={POS: 0.923, NEU: 0.073, NEG: 0.005})"
proyecto interno caso de estudio de aplicacion de la kata de la mejora en el contexto de la serie kitchen nightmares,implementacion proyecto interno cursar materia practicas profesion hace bastante interesante buena aporta conocimiento externo extra mismo agrado tipo proyecto volveria repetir,esta implementacion de proyecto interno para cursar la materia de practicas en la profesion se me hace bastante interesante y muy buena por que te aporta un conocimiento externo y extra y por lo mismo es que me agrado este tipo de proyecto y lo volveria a repetir,positive,"AnalyzerOutput(output=POS, probas={POS: 0.809, NEU: 0.186, NEG: 0.006})"
base ,siendo practicas linea puede aprender despenarse manera positiva asi mismo interes empresa disminuye ser linea manera eficaz realizar labores tener convencia,siendo practicas en linea no se puede aprender o despenarse de una manera positiva  asi mismo el interes de la empresa disminuye ya que al ser todo por linea no hay manera eficaz de realizar labores o tener una convencia,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.535, POS: 0.437, NEG: 0.028})"
blackshiip,experiencia buena dentro organizacion pude aprender cosas pueden servir futuro normal aspectos esperaria hacer practicas empresa,"experiencia buena dentro de la organizacion
pude aprender algunas cosas que me pueden servir en un futuro
estuvo normal en todos los aspectos que uno esperaria al hacer practicas en una empresa ",neutral,"AnalyzerOutput(output=POS, probas={POS: 0.795, NEU: 0.200, NEG: 0.005})"
global trainees,gustaria universidad aconsejara acerca remuneracion economica pedirla cuanto adecuado maneja situacion general,me gustaria que la universidad nos aconsejara acerca de remuneracion economica como pedirla cuanto es lo adecuado como se maneja esa situacion en general ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, NEG: 0.041, POS: 0.035})"
volkswagen,practicas ayudaron mas crecimiento profesional personal,las practicas me ayudaron mas en mi crecimiento profesional y personal ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.540, POS: 0.441, NEG: 0.020})"
